Sucesso,Melhor Fitness,Numero de gerações
False,49997,125
False,49833,123
False,49487,140
False,-82743,119
False,49996,121
False,42438,145
False,49996,116
False,-42342,116
False,49999,121
False,-67195,111
False,49834,136
False,49989,124
False,49974,115
False,-37076,123
False,49978,152
False,49890,116
False,-13104,110
False,-82294,130
False,49988,135
False,49970,129
False,-113125,108
False,23552,121
False,49887,121
False,49972,117
False,-109129,114
False,-94339,111
False,-56464,118
False,49990,121
False,49996,143
False,48592,113
False,49980,132
False,44273,118
False,-140425,107
False,-141552,107
False,49955,135
False,-77757,113
False,18785,159
False,49995,126
False,49917,123
False,49996,114
True,50000,42
False,49953,135
False,43259,128
False,49941,132
False,49966,132
False,-133966,107
False,-163124,105
False,49963,166
False,-57704,123
False,49954,164
False,49966,113
False,-157762,106
False,-162946,104
False,-161419,104
False,-123199,111
False,-146854,110
False,19098,117
False,-107170,109
False,49910,117
False,-2127,118
False,49023,131
False,49944,119
False,-56912,115
False,-67436,114
False,-163994,103
False,33154,120
False,-81272,110
False,49891,136
False,49685,123
False,49985,128
False,49984,135
False,49948,120
False,49886,120
False,49959,132
False,-27891,121
False,49704,124
False,-50041,112
False,49656,124
False,49926,124
False,-140304,114
False,49983,126
False,49593,117
False,-52942,122
False,49980,156
False,49202,127
False,-58911,115
False,49996,218
False,-126795,145
False,49916,129
False,49989,127
False,-13830,119
False,47975,126
False,49915,195
False,49798,112
False,-114623,109
False,49874,116
False,-81927,111
False,49987,117
False,-149607,117
False,-19722,111
