Sucesso,Melhor Fitness,Numero de gerações
False,49899,121
False,49995,148
False,-142593,111
False,49157,125
True,50000,135
False,49767,121
False,49814,122
False,49971,130
False,49878,127
False,49996,131
False,-43439,161
False,49752,130
False,49994,173
False,-147949,107
False,49544,128
False,49818,124
False,49987,122
False,-94582,130
False,49876,121
False,-11989,115
False,49946,154
False,44682,175
False,-109781,109
False,49880,127
False,49993,114
False,-54852,122
True,50000,75
False,-71640,109
False,49955,132
False,-70123,114
False,49995,131
False,-152681,106
False,49997,201
True,50000,29
False,49982,169
False,49950,115
False,49893,126
False,-39653,121
False,38212,129
False,47910,114
False,-120831,110
False,49974,195
False,49970,119
False,-148269,106
False,49878,116
False,-138996,107
False,-50638,117
False,-91479,111
False,49987,139
False,24590,160
False,49934,126
False,49995,115
False,49980,139
False,-101701,108
False,49997,127
False,-113538,110
False,49986,156
False,-159133,109
False,49802,120
False,49498,146
False,49998,126
True,50000,37
False,49996,138
False,49957,120
False,49964,177
False,49996,122
False,-90836,115
False,-116185,111
False,49961,115
True,50000,40
False,49989,126
False,49819,137
False,-137066,108
False,49766,129
False,-158923,105
False,49904,152
False,49724,125
False,49916,123
False,49936,116
False,49981,126
False,49997,124
False,49999,148
False,49863,128
False,49464,118
False,-138099,108
False,-76059,113
False,49912,198
False,49822,136
False,49474,130
False,-10711,120
False,49861,131
False,49937,135
False,49987,232
False,49998,123
False,49904,141
False,49997,187
False,49954,232
False,49518,158
False,-81124,112
False,42176,117
