Sucesso,Melhor Fitness,Numero de gerações
True,50000,37
True,50000,51
True,50000,50
True,50000,50
False,-64570,241
True,50000,63
True,50000,31
True,50000,30
False,-80265,138
True,50000,75
True,50000,97
True,50000,57
True,50000,61
True,50000,27
True,50000,58
True,50000,30
True,50000,35
True,50000,87
True,50000,105
True,50000,87
True,50000,64
True,50000,93
True,50000,43
True,50000,172
True,50000,26
True,50000,33
False,-51189,147
True,50000,88
False,-54593,118
False,-108539,111
True,50000,97
True,50000,58
True,50000,39
True,50000,85
True,50000,38
False,49999,148
True,50000,57
True,50000,56
True,50000,69
True,50000,40
True,50000,66
True,50000,64
True,50000,110
False,49999,135
True,50000,25
False,-83765,213
True,50000,43
True,50000,121
True,50000,20
True,50000,118
True,50000,46
True,50000,44
True,50000,52
True,50000,126
True,50000,46
True,50000,43
True,50000,56
False,-140664,118
False,-74025,129
True,50000,68
True,50000,37
True,50000,72
True,50000,132
False,49999,128
False,49995,124
True,50000,98
True,50000,53
True,50000,50
True,50000,32
True,50000,184
True,50000,123
True,50000,43
True,50000,93
True,50000,40
True,50000,107
True,50000,144
False,49999,143
True,50000,80
True,50000,43
True,50000,53
True,50000,80
True,50000,174
False,49999,132
True,50000,103
True,50000,57
True,50000,54
True,50000,61
True,50000,34
False,-120936,139
True,50000,45
True,50000,40
True,50000,60
True,50000,42
True,50000,43
False,-124562,113
True,50000,52
True,50000,75
True,50000,152
True,50000,70
False,-81179,115
