Sucesso,Melhor Fitness,Numero de gerações
False,-1381070,117
False,-2168019,116
False,49401,167
False,-2299612,106
False,48902,190
False,-2087562,112
False,46008,232
False,29748,157
False,49611,181
False,-2326167,106
False,-1492969,122
False,49948,132
False,49799,186
False,-2253906,107
False,-2269930,109
False,49858,144
False,17505,243
False,9819,170
False,31166,137
False,-2215050,110
False,-2284605,111
False,-2139843,113
False,-2341960,106
False,24251,195
False,17512,128
False,-2248875,109
False,-1642383,138
False,46465,126
False,30180,139
False,-2079551,110
False,31299,300
False,-1203647,116
False,-731828,124
False,-789606,119
False,-2129706,112
False,49909,181
False,-1508373,120
False,-2326963,103
False,49901,155
False,23951,211
False,2988,180
False,49962,158
False,49528,148
False,49258,159
False,-2282963,105
False,47325,150
False,-1321119,121
False,-1481459,122
False,42110,205
False,49134,142
False,49989,133
False,-1869000,113
False,15206,175
False,49870,271
False,45284,461
False,7484,218
False,18221,148
False,37411,121
False,-1957581,113
False,-1027220,148
False,47263,163
False,-1651586,113
False,-1952071,111
False,49850,157
False,48682,121
False,33868,388
False,44613,137
False,49310,138
False,-1466459,114
False,37858,162
False,49635,153
False,21618,368
False,43613,263
False,-2098826,110
False,33122,130
False,-1823013,112
False,49996,132
False,47108,134
False,48559,140
False,-2190499,110
False,38055,296
False,42409,310
False,47980,150
False,49925,161
False,30006,130
False,44539,170
False,48980,148
False,41449,238
False,-1426183,114
False,-1693347,116
False,42775,126
False,-1684037,114
False,22640,128
False,-2020793,116
False,21536,146
False,-1365228,119
False,-2151187,109
False,49966,141
False,19562,173
False,-693670,148
