Sucesso,Melhor Fitness,Numero de gerações
False,-908818,171
False,-2260353,108
False,-120229,156
False,-1609211,120
True,50000,78
False,-2200235,164
False,-2090894,120
False,-579019,128
False,-1990930,184
False,-1735100,119
False,-902598,137
False,-439360,132
False,-2008757,114
False,-2146989,112
False,-949819,278
False,-2147681,173
True,50000,91
False,-1384921,130
False,-2191403,124
False,-1665596,120
False,-1251338,138
False,-2044726,114
False,-1722680,121
False,-1010977,249
False,49986,252
True,50000,122
False,-1980091,211
False,-2148211,113
False,-457282,162
False,-1817471,149
False,-1632848,214
True,50000,148
False,-2157263,136
False,-1266683,134
False,-1476930,129
False,-1555339,129
True,50000,204
False,49998,260
False,-2039734,294
True,50000,132
False,-2172868,113
False,-837375,128
False,-305175,187
False,-2138963,216
False,-2004161,139
False,-1376723,120
False,-1052754,128
False,-1165191,171
False,-1497146,123
False,-70579,165
False,-1543981,119
False,49998,160
False,-2192552,114
False,49998,181
False,-764495,139
False,-1482380,132
True,50000,89
False,-2093073,114
False,-2182792,110
False,-1650768,197
True,50000,194
False,-2184602,134
False,-1756405,127
False,-1922838,114
False,49997,271
False,-494245,139
False,-1341832,176
False,-618619,189
False,-629191,128
False,-2176324,138
False,49990,546
False,-396367,160
False,-2213950,109
False,-1257828,122
False,-1708434,190
False,-367172,164
False,-1805940,166
False,49993,173
False,-389669,330
False,-963771,183
False,-1503332,117
False,-683086,137
False,-2140913,117
False,-223845,231
False,-736692,192
False,-1516069,128
False,-1617511,131
False,-1587945,120
False,49998,351
False,-1168654,125
False,-1590165,129
False,49981,177
False,-2162927,112
False,-209817,183
False,-2234395,253
False,49981,208
False,-106489,176
False,-43827,183
False,-2214986,135
False,-2109148,189
