Sucesso,Melhor Fitness,Numero de gerações
False,47884,132
False,-120471,111
False,49997,120
False,-157432,108
False,-64167,114
False,-102955,111
False,49245,126
False,-157444,121
False,-87756,137
False,49907,115
False,49842,154
False,-127590,108
False,49235,120
False,49988,179
False,-38697,114
False,-132162,107
False,-7132,116
False,-143317,116
False,-40682,114
False,-150240,109
False,49690,114
False,49999,277
False,49948,116
False,49997,198
True,50000,41
False,-74471,116
False,49911,115
True,50000,18
False,-69148,114
False,49245,140
False,-148244,110
False,-70655,111
False,49953,176
False,-147213,108
False,49982,131
False,49993,117
False,-147453,109
False,49910,120
False,-108451,110
False,49973,158
False,49982,132
False,-118110,109
False,24092,120
False,49718,125
False,-77958,113
False,43396,146
False,-165637,108
False,49960,112
False,31738,114
False,49989,115
False,-124008,113
False,49929,121
False,49991,128
False,49987,134
False,49926,142
False,49751,119
False,-99027,111
False,48248,147
False,-141766,108
False,49954,156
False,49931,113
False,49994,167
False,-11217,123
False,-110487,189
False,49999,194
False,49951,128
True,50000,28
False,-23700,127
False,-77534,109
False,-130626,109
False,49161,114
False,-141813,109
False,49979,209
False,-30165,116
False,-138686,109
False,49976,115
False,49984,191
False,-27515,113
False,49344,122
False,49460,125
False,-109061,151
False,-131708,110
False,47778,121
False,49998,248
False,49992,116
False,49992,144
False,-128733,108
False,49993,311
False,49885,125
False,47501,114
False,44415,119
False,49093,116
False,-128622,109
False,-83767,113
False,-61439,117
False,49972,114
False,49985,247
False,-62782,111
False,49896,121
False,49591,123
