Sucesso,Melhor Fitness,Numero de gerações
True,50000,25
True,50000,23
True,50000,16
True,50000,12
True,50000,16
True,50000,21
True,50000,12
True,50000,16
True,50000,22
True,50000,22
True,50000,11
True,50000,11
True,50000,12
True,50000,14
True,50000,16
True,50000,12
True,50000,13
True,50000,21
True,50000,12
True,50000,12
True,50000,12
True,50000,18
True,50000,16
True,50000,18
True,50000,16
True,50000,12
True,50000,18
True,50000,9
True,50000,15
True,50000,12
True,50000,12
True,50000,17
True,50000,11
True,50000,16
True,50000,13
True,50000,15
True,50000,20
True,50000,25
True,50000,12
True,50000,13
True,50000,19
True,50000,12
True,50000,17
True,50000,41
True,50000,14
True,50000,18
True,50000,16
True,50000,10
True,50000,22
True,50000,15
True,50000,13
True,50000,14
True,50000,16
True,50000,16
True,50000,12
True,50000,14
True,50000,16
True,50000,16
True,50000,32
True,50000,20
True,50000,13
True,50000,25
True,50000,11
True,50000,20
True,50000,16
True,50000,16
True,50000,11
True,50000,50
True,50000,10
True,50000,15
True,50000,11
True,50000,11
True,50000,16
True,50000,30
True,50000,19
True,50000,15
True,50000,12
True,50000,30
True,50000,23
True,50000,21
True,50000,16
True,50000,24
True,50000,12
True,50000,11
True,50000,9
True,50000,15
True,50000,23
True,50000,15
True,50000,12
True,50000,21
True,50000,13
True,50000,12
True,50000,16
True,50000,16
True,50000,19
True,50000,12
True,50000,53
True,50000,13
True,50000,18
True,50000,19
