Sucesso,Melhor Fitness,Numero de gerações
False,29889,135
False,-2109785,112
False,-1592298,114
False,49877,141
False,-2290055,107
False,-2268935,112
False,-2307492,108
False,-2118831,110
False,-2190546,113
False,49799,125
False,-1795314,118
False,49843,144
False,-1199454,126
False,-1747029,114
False,49999,274
False,-1979631,121
False,-2041445,109
False,6805,139
False,-2283416,106
False,-2214536,111
False,-724334,144
False,-2301777,107
False,-1059869,126
False,46812,176
False,-1788158,113
False,5159,119
False,-1093447,128
False,-601352,135
False,-2058744,115
False,-2320941,107
False,-2256507,110
False,14307,126
False,-2193116,108
False,-1044018,123
False,-2269627,107
False,-968079,124
False,-2159141,109
False,46873,136
False,-2248736,110
False,-1817788,121
False,-1033150,129
False,49976,146
False,42674,133
False,-1234090,122
False,-2292152,107
False,-253105,120
False,-359884,119
False,-2154312,111
False,-1603625,114
False,-48807,147
False,49905,140
False,49648,129
False,49994,146
False,-2264678,108
False,-1995470,112
False,49590,159
False,-2003475,113
False,-2192851,115
False,-2258536,111
False,-1851834,115
False,-2059777,118
False,-2246690,109
False,49988,142
False,-2217759,107
False,49926,179
False,-2177390,109
False,-1126428,152
False,-2300539,106
False,-1861176,115
False,49920,133
False,-169513,128
False,-178100,165
False,-2102343,112
False,49987,145
False,49342,143
False,48448,122
False,-2291304,108
False,-1958530,115
False,49943,126
False,-2162969,109
False,36482,176
False,-1378273,120
False,-1404523,116
False,49830,130
False,-1078449,126
False,-1440875,114
False,14664,121
False,-2106277,111
False,-1693486,121
False,-1895060,113
False,-1182838,119
False,-1356141,119
False,-2238878,109
False,49973,139
False,-2192723,167
False,25712,143
False,45647,130
False,-2222730,116
False,-1762191,115
False,49140,467
