Sucesso,Melhor Fitness,Numero de gerações
False,-2303321,111
False,-2149543,121
False,-1042097,130
False,-2276672,106
False,-1868228,112
False,48864,135
False,-2178898,110
False,-1791761,114
False,46304,212
False,49950,135
False,-2227563,110
False,49544,147
False,39496,148
False,49822,159
False,49968,217
False,49968,199
False,-2222030,110
False,-2157901,108
False,-2302601,114
False,35447,125
False,-2289661,106
False,49983,147
False,48855,155
False,49671,148
False,45130,189
False,-2219399,109
False,-1050723,132
False,23342,240
False,-2129520,112
False,-2038755,114
False,-2136684,111
False,49899,197
False,-2248566,109
False,-1914970,113
False,-88280,132
False,-52487,132
False,-2164005,108
False,-1811293,113
False,-506219,117
False,49370,182
False,16794,150
False,49912,240
False,-2171160,110
False,-1242748,170
False,49588,127
False,-2263667,108
False,49998,298
False,-2149159,112
False,-2274800,106
False,49968,184
False,-1747914,114
False,-1761278,120
False,-2265494,105
False,49161,140
False,-1812950,117
False,45989,156
False,32515,128
False,49967,132
False,49992,121
False,35805,189
False,49537,131
False,-619271,125
False,49893,182
False,20826,157
False,-2320600,103
False,49919,158
False,-1666208,127
False,-1004278,118
False,49406,261
False,-520910,135
False,-2243607,107
False,-2259587,108
False,48426,174
False,-2216430,108
False,41555,133
False,48827,129
False,-2128038,111
False,34964,132
False,-204588,124
False,-2299513,106
False,-37640,125
False,49996,388
False,-2319656,108
False,-1099789,117
False,-1892524,111
False,-2322957,103
False,48899,120
False,-2206170,108
False,-2237490,108
False,-1918665,116
False,29190,128
False,49914,192
False,-2296795,109
False,-2152576,113
False,45409,195
False,-2265489,107
False,-1691208,116
False,-2331825,105
False,49923,127
False,49908,131
