Sucesso,Melhor Fitness,Numero de gerações
True,50000,58
True,50000,141
True,50000,77
False,49999,114
True,50000,84
True,50000,94
False,49996,115
False,46647,108
False,49999,177
True,50000,49
True,50000,84
True,50000,85
True,50000,86
False,49999,258
False,49993,112
False,49998,192
True,50000,35
True,50000,92
True,50000,80
True,50000,91
True,50000,138
True,50000,28
True,50000,52
False,49999,115
True,50000,30
True,50000,223
False,49999,121
True,50000,184
True,50000,52
True,50000,38
True,50000,64
True,50000,127
False,49999,131
False,49999,134
False,49999,136
True,50000,65
True,50000,192
False,49999,186
True,50000,97
False,49998,152
False,49999,295
False,49999,117
True,50000,38
False,49995,117
False,49999,179
False,49988,118
True,50000,114
True,50000,131
False,49992,111
True,50000,11
True,50000,32
True,50000,68
True,50000,45
False,49998,114
True,50000,84
True,50000,22
True,50000,153
True,50000,153
True,50000,13
True,50000,208
False,49999,112
False,49999,141
True,50000,34
False,49999,133
False,49998,139
True,50000,52
False,49998,142
True,50000,116
True,50000,37
True,50000,97
False,49999,121
False,45110,105
True,50000,38
True,50000,40
True,50000,130
False,49999,113
False,49999,113
True,50000,49
True,50000,54
True,50000,45
False,49999,156
False,49999,159
True,50000,114
False,49994,111
False,49998,137
True,50000,45
True,50000,136
True,50000,136
True,50000,104
True,50000,63
False,49994,116
False,49999,125
False,49999,204
True,50000,31
True,50000,57
True,50000,98
True,50000,73
True,50000,59
False,49999,111
False,49999,165
