Sucesso,Melhor Fitness,Numero de gerações
False,30012,202
False,-2043946,111
False,49876,207
False,49769,193
False,48501,130
False,-2245090,108
False,-2325663,112
False,49939,220
False,-2123300,114
False,49896,142
False,-2248646,215
False,-1806171,147
False,-2315360,107
False,-2258486,106
False,42746,123
False,49521,123
False,48473,136
False,-2067079,112
False,49891,142
False,-2038102,111
False,-2244900,107
False,-1779026,119
False,46824,129
False,-1126332,134
False,-1844781,112
False,-2216857,109
False,-2320066,107
False,-1981885,117
False,-654279,122
False,42261,121
False,-1954795,114
False,-2298229,134
False,-1829184,117
False,-1042034,121
False,49921,233
False,-2127222,109
False,-624415,124
False,35689,259
False,49566,127
False,49951,121
False,-843975,119
False,-2298057,106
False,49795,192
False,-2297583,124
False,-2125902,112
False,-1679287,120
False,49999,281
False,-2178440,112
False,43600,139
False,-2315192,149
False,-1735282,123
False,49973,156
False,39176,125
False,37429,276
False,-2293044,315
False,49792,121
False,41674,249
False,-1594313,115
False,49901,133
False,-2282288,111
False,-2176401,110
False,-2290568,153
False,-2287888,105
True,50000,84
False,49317,222
False,33784,120
False,-2247076,113
False,-2057284,112
False,-2302625,105
False,-1591978,114
False,49995,131
False,-544007,138
False,-567031,126
False,-1804306,112
False,-2069210,116
False,49508,164
False,-2193601,113
False,-2117929,111
False,-2182054,108
False,-2161007,115
False,-2224554,112
False,-454696,131
False,49968,152
False,-2154016,112
False,-2236333,113
False,47208,124
False,-1978862,114
False,49932,197
False,49929,119
False,27175,127
False,-2258259,105
False,-13056,140
False,49187,160
False,-2259587,110
False,-2142173,111
False,-1769257,133
False,-271254,125
False,-2056730,113
False,49624,131
False,-1935779,113
