Sucesso,Melhor Fitness,Numero de gerações
True,50000,127
True,50000,173
True,50000,110
True,50000,145
True,50000,206
True,50000,124
True,50000,154
True,50000,180
True,50000,185
True,50000,143
True,50000,148
True,50000,151
True,50000,134
True,50000,87
True,50000,131
True,50000,153
True,50000,132
True,50000,174
True,50000,107
True,50000,164
True,50000,130
True,50000,167
True,50000,166
True,50000,171
True,50000,124
False,-208576,203
True,50000,136
True,50000,152
True,50000,144
True,50000,157
True,50000,115
True,50000,128
True,50000,141
True,50000,112
True,50000,118
True,50000,123
True,50000,184
True,50000,157
True,50000,124
True,50000,138
True,50000,168
True,50000,113
True,50000,143
True,50000,153
True,50000,194
True,50000,213
True,50000,157
True,50000,111
True,50000,132
True,50000,164
True,50000,156
False,49998,276
True,50000,126
True,50000,162
False,49997,241
True,50000,126
True,50000,127
True,50000,154
True,50000,103
True,50000,116
True,50000,129
True,50000,107
True,50000,114
True,50000,141
True,50000,131
True,50000,147
True,50000,115
True,50000,139
True,50000,141
True,50000,122
True,50000,160
True,50000,153
True,50000,148
True,50000,132
True,50000,147
False,-701710,194
True,50000,121
True,50000,151
False,-1500698,130
True,50000,110
True,50000,159
True,50000,135
True,50000,133
True,50000,124
True,50000,132
True,50000,141
True,50000,142
False,49999,283
False,49998,240
True,50000,136
True,50000,168
True,50000,144
True,50000,145
True,50000,185
True,50000,136
True,50000,158
True,50000,117
True,50000,142
True,50000,173
True,50000,128
