Sucesso,Melhor Fitness,Numero de gerações
False,-16262,129
False,-134961,122
False,-146158,106
False,49961,296
False,49927,118
False,49995,131
False,-109043,109
False,-140245,109
False,49993,155
False,49968,132
False,-121637,108
False,48781,147
False,49913,127
False,-152916,167
False,48258,115
False,-147339,111
False,49996,147
False,-89429,109
False,-77792,110
False,-108243,108
False,-164890,134
False,49970,118
False,-98294,109
False,49997,131
False,49703,122
False,49574,123
False,49601,124
False,49979,119
False,49775,117
False,-134246,107
False,49997,154
False,49198,175
False,49527,117
False,-121255,111
False,49927,180
False,49942,117
False,49588,114
False,-159958,117
False,49999,122
False,49813,121
False,45258,140
False,49851,128
False,38265,120
False,-59238,113
False,-115777,113
False,-155256,108
False,49546,114
False,49890,116
False,49998,134
False,49405,113
False,49808,131
False,49683,114
False,49994,136
False,49897,116
False,49982,118
False,-154861,116
False,-155741,113
False,-147175,108
False,-154158,109
False,-48812,129
False,49940,179
False,-152055,108
False,49981,177
False,49956,166
False,-152117,109
False,-141683,110
False,-123753,109
False,-128899,111
False,-93351,114
False,45640,116
False,24363,113
False,49002,131
False,49999,175
False,49947,129
False,49986,116
False,-156626,112
False,49858,128
False,49997,358
False,-124938,110
False,49759,115
False,-160537,129
False,49878,116
False,49973,144
True,50000,148
False,-160740,105
False,49999,311
False,49886,119
False,49966,125
False,-162403,104
False,-171468,104
False,-43912,114
False,48586,133
False,49617,114
False,49924,129
False,-150882,108
False,48542,114
False,-136516,141
False,-133133,108
False,49975,125
False,49996,152
