Sucesso,Melhor Fitness,Numero de gerações
False,49999,123
False,49997,117
True,50000,52
False,49959,127
True,50000,50
True,50000,19
False,49989,112
True,50000,14
False,49998,291
False,49997,120
False,49997,119
True,50000,27
False,49999,206
False,49993,123
False,49989,153
False,49977,111
False,49998,133
False,49958,108
False,49999,276
False,49991,108
False,49967,111
False,49998,124
False,49995,114
False,49993,112
False,49999,118
False,49969,109
True,50000,77
True,50000,205
True,50000,33
False,49115,108
False,49984,140
True,50000,18
True,50000,22
False,43816,108
True,50000,13
False,49998,117
True,50000,20
True,50000,32
False,49999,218
True,50000,18
False,49939,109
False,49989,114
True,50000,193
True,50000,73
True,50000,86
False,49987,110
False,49999,172
False,49997,112
False,49999,138
False,49998,121
True,50000,89
True,50000,24
False,49998,125
False,49997,111
False,49999,108
True,50000,19
True,50000,106
False,49997,153
True,50000,22
False,49993,116
False,49996,171
False,49995,113
False,49998,114
False,49980,109
True,50000,125
True,50000,13
False,49998,158
False,49962,126
True,50000,92
False,49998,115
False,49989,110
True,50000,18
False,49984,115
False,49989,110
True,50000,54
True,50000,223
False,49996,126
True,50000,48
False,49996,111
False,49900,109
False,49998,120
False,49999,128
True,50000,54
False,49981,111
True,50000,77
False,49998,153
False,49996,223
False,49998,131
False,49998,193
False,49999,142
False,49990,132
True,50000,124
False,49997,112
False,49989,112
False,49999,144
False,49996,177
False,49991,135
True,50000,97
False,49997,117
True,50000,97
