Sucesso,Melhor Fitness,Numero de gerações
False,49996,130
False,49803,144
False,49980,128
False,49911,177
True,50000,136
False,-137208,110
False,49999,120
False,45128,116
False,-28283,161
True,50000,20
True,50000,76
False,-112837,110
False,49877,128
False,49922,118
False,49936,133
False,49518,119
False,-142140,109
False,49843,112
False,-147578,109
False,-151171,106
False,49849,130
False,42058,198
False,49999,294
False,-155335,109
False,49990,121
False,49983,134
False,49938,179
False,49991,139
False,49975,157
False,49924,123
False,-123943,108
False,-9553,116
False,49881,122
False,-145442,110
False,49969,132
False,49956,114
False,49926,126
False,-116415,120
False,-120593,119
False,49992,139
False,49981,132
False,-86793,111
False,49994,132
False,49936,122
False,49927,121
False,49903,126
False,49977,133
False,48959,131
False,-139210,109
False,49998,222
False,-155260,121
False,49985,121
False,49317,140
False,49889,119
False,-75129,110
False,-133804,110
False,-142840,108
False,49426,117
False,-134622,109
False,49764,113
False,49917,120
False,-103251,128
False,49948,131
False,-16620,129
False,45032,121
False,49907,126
False,49818,112
False,-151449,105
False,-142440,107
False,-75090,114
False,49969,151
False,49668,134
False,49994,128
False,49994,163
False,49984,117
False,49763,123
False,-51663,117
False,48819,114
False,49957,113
False,-159029,184
False,49942,136
False,49972,118
False,49422,141
False,49900,142
False,49894,137
False,49897,122
False,49998,184
False,-4462,116
False,49966,124
False,-150883,108
False,-97717,113
False,49462,114
False,49999,120
False,-152386,116
False,48203,153
False,49972,116
True,50000,87
False,49499,122
False,49951,134
False,33995,113
