Sucesso,Melhor Fitness,Numero de gerações
False,-730773,249
False,49997,243
False,-1185251,136
False,-2059313,198
False,-2073525,113
False,49950,208
False,-2181825,122
False,-1001570,129
False,-1338915,130
False,49973,264
False,-1371063,243
False,-728767,200
False,-1957931,192
False,-2213810,110
False,49996,170
False,-631678,146
False,-911512,137
False,-1434493,120
False,-2124507,133
False,-2087426,153
False,-1830219,120
False,-921127,139
True,50000,211
False,-25817,158
False,-2116085,122
False,49994,232
False,-2202538,132
False,49999,166
False,49996,256
False,-647482,175
False,49999,241
False,-936767,129
False,49998,165
False,-427230,180
True,50000,73
False,-2131934,116
False,-1280241,120
False,-1236292,135
False,-2179856,115
False,-2134932,129
False,-2083621,114
True,50000,70
False,-112920,145
False,-546306,136
False,48116,209
False,-402544,147
False,-1916252,114
False,-1313756,244
False,-512791,147
False,-2139016,117
False,-2222491,112
False,-983597,145
False,-1933382,181
False,-538887,147
False,49997,215
False,-2237573,108
False,-1142838,130
False,-773725,157
False,-1428499,172
False,49993,263
False,-1761148,126
True,50000,115
False,-223248,216
True,50000,59
False,-2079883,206
False,49357,161
True,50000,158
False,-737724,166
False,-2070347,114
False,-2223190,284
False,-1436437,372
False,-555104,149
False,-2187553,167
False,49999,159
False,-509088,263
False,-1555111,131
False,-2199034,116
False,-190405,142
False,-775545,193
False,-2106751,218
False,-1997519,184
False,-67500,172
False,-614775,198
False,-1569302,140
False,-1175650,134
False,49999,284
False,-2207848,109
False,-2019226,114
False,-1436341,120
False,-1898946,115
False,-2115811,113
False,-2016471,124
False,-433098,152
False,-1808411,123
False,49996,158
False,49922,175
False,-1430809,223
True,50000,187
False,-23911,169
False,-2156952,112
