Sucesso,Melhor Fitness,Numero de gerações
False,-1312822,129
False,-1675608,114
False,31045,198
False,49864,140
False,47661,218
False,49928,148
False,49974,153
False,29256,158
False,49488,161
False,-1989862,112
False,49981,125
False,-2220980,107
False,-1876161,114
False,49994,154
False,-1681414,114
False,41075,239
False,28851,165
False,48622,137
False,-1221268,149
False,49978,353
False,49988,243
False,49937,123
False,49977,241
False,-193141,122
False,-85371,124
False,49977,160
False,-1927602,112
False,-1744956,113
False,-2299303,105
False,-2246903,109
False,-1648252,116
False,-149856,121
False,-389424,127
False,36011,151
False,43078,298
False,49502,275
False,35013,284
False,49741,135
False,49553,180
False,34255,314
False,-1750142,120
False,49991,233
False,49784,158
False,-1976102,125
False,-2049009,112
False,49963,167
False,47610,195
False,49115,132
False,17932,130
False,49993,126
False,31670,239
False,-1024537,126
False,-2193840,116
False,49934,215
False,33558,126
False,31152,169
False,29205,177
False,49920,132
False,49892,130
False,48211,124
False,49592,273
False,-2236395,113
False,-2339492,104
False,49941,126
False,47615,149
False,49820,156
False,47442,137
False,-2281810,106
False,43038,192
False,49973,178
False,-2036063,113
False,-2301793,109
False,49952,268
False,-2315316,106
False,-2276853,106
False,-1736413,112
False,49876,122
False,-640037,126
False,-2295464,115
False,-2096043,111
False,-555726,141
False,-2311371,105
False,48322,121
False,49544,213
False,47170,181
False,48359,170
False,-1211719,125
False,31380,205
False,-2015055,112
False,26770,176
False,49926,252
False,49388,189
False,45667,231
False,-2280788,104
False,49981,159
False,22113,181
False,49585,135
False,49943,158
False,-2163081,122
False,-2271572,107
