Sucesso,Melhor Fitness,Numero de gerações
False,-1949401,111
False,49644,266
False,46494,129
False,-1969175,115
False,-2283780,105
False,49810,125
False,-192119,123
False,45187,189
False,-683780,116
False,-1268953,115
False,-1631812,112
False,-1265563,115
False,-825203,120
False,43362,140
False,28012,166
False,-305334,124
False,-2165916,116
False,49891,187
False,-2091648,110
False,47406,386
False,14788,274
False,49164,142
False,35035,252
False,15511,162
False,21285,146
False,-2023142,120
False,-1925584,119
False,49840,163
False,49913,151
False,-1480236,134
False,49940,119
False,40699,178
False,-1368406,120
False,-1989028,111
False,-1654032,116
False,-2249585,112
False,27041,128
False,-2049287,115
False,49923,221
False,49527,359
False,49554,132
False,49948,286
False,17985,209
False,49990,168
False,-1984546,111
False,19892,148
False,49989,146
False,49460,272
False,49842,165
False,36971,145
False,-2039696,112
False,49991,227
False,-2181871,111
False,49865,203
False,31896,133
False,49952,147
False,49916,159
False,-332432,124
False,-1307850,176
False,-1774151,118
False,49958,152
False,49952,131
False,49945,162
True,50000,55
False,-2316706,106
False,49614,202
False,25019,218
False,49973,205
False,-1016580,122
False,-1204904,122
False,49597,143
False,49977,151
False,19967,132
False,49935,170
False,27958,135
False,49949,236
False,49941,249
False,-2185781,138
False,48968,262
False,-2321514,110
False,-2134108,113
False,-424838,125
False,38334,264
False,49896,220
False,-2101222,112
False,49979,247
False,49529,257
False,-677334,133
False,-1868596,114
False,42874,147
False,-1920233,113
False,-2074461,111
False,-2275843,114
False,43427,232
False,48383,318
False,-2037361,118
False,49810,219
False,49880,149
False,-1956246,115
False,-2225450,109
