Sucesso,Melhor Fitness,Numero de gerações
False,49990,184
False,49951,180
False,-2023804,113
False,46891,192
False,49998,186
True,50000,156
False,-1871561,116
True,50000,54
False,34201,186
True,50000,157
False,49985,190
False,49999,237
False,49988,210
False,49995,228
False,-2262047,108
False,-780141,205
False,49976,194
False,49993,187
False,-1283860,207
True,50000,247
False,-1296651,142
False,-1733979,159
False,-2180312,111
False,-1023516,179
False,49993,280
True,50000,117
False,-640099,175
False,-895753,153
False,-1851443,119
False,-397767,142
False,49964,193
False,-2038359,112
False,49962,214
False,-1447379,184
False,-56230,141
False,49997,156
False,-438891,148
False,49991,205
False,-2215686,109
False,49783,211
False,49981,233
False,-1102942,145
False,-486287,224
False,-1642209,132
False,-1989360,132
False,-2150281,125
True,50000,91
False,49991,194
False,-2016132,114
False,49998,213
False,-630627,127
False,-2149513,111
False,49988,204
False,49996,238
False,49962,186
True,50000,133
False,49994,228
False,-1964373,119
True,50000,154
True,50000,192
False,49997,176
False,49994,156
False,49989,225
False,-32160,216
False,-2171210,116
False,49988,198
False,49996,177
False,49997,231
False,-1988203,116
False,-1846722,185
False,49998,212
False,49999,236
False,-521093,224
False,-1949135,117
False,49998,200
False,49999,161
True,50000,170
True,50000,83
False,49678,154
False,49994,204
True,50000,207
False,49918,221
False,-1160935,161
False,49998,337
False,-2199227,111
False,-265354,179
False,49997,204
False,49999,321
False,-1332434,155
False,-2087818,113
False,49983,151
False,-1550992,145
False,49996,222
False,49996,177
True,50000,138
False,49997,167
False,49985,216
False,49999,169
False,49994,178
True,50000,90
