Sucesso,Melhor Fitness,Numero de gerações
False,49952,43
False,49761,48
False,-104989,35
False,49984,72
False,49887,57
False,-135127,28
False,49986,44
False,45303,34
False,49979,35
False,40033,46
False,49678,41
False,49995,35
False,49798,48
False,49987,41
False,49974,63
False,49985,46
False,-47556,31
False,-84351,47
False,49958,50
False,39517,36
False,49622,43
False,-150519,27
False,-141134,29
False,49710,35
False,49747,41
False,-149147,26
False,49976,77
False,-149930,27
False,-17376,35
False,49901,38
False,-100824,30
False,49991,38
False,49997,67
False,49959,32
False,49939,33
False,49977,55
False,49900,38
False,49976,37
False,-40621,33
False,49636,37
False,-135065,29
False,-155787,25
True,50000,39
False,49983,44
False,-122600,28
False,49887,41
False,-143923,28
False,-157194,24
False,49758,62
False,-57764,32
False,49979,42
False,49854,35
False,-36965,41
False,49843,36
False,49887,45
False,-143240,26
False,48609,53
False,49656,51
False,-106490,33
False,49997,48
False,-92743,31
False,49982,48
False,-76242,39
False,49995,70
False,-127562,29
False,-31187,41
False,-90657,33
False,49658,32
False,-133266,29
False,-144981,43
False,48860,48
False,-53314,43
False,49890,53
False,-160036,25
False,-105676,29
False,49807,38
False,49906,41
False,49989,58
False,-154519,28
False,29556,58
False,49981,63
False,-21739,44
False,49995,39
False,49931,59
False,31382,52
False,49977,36
False,-155731,29
False,-38921,59
False,-50270,34
False,49617,55
False,-170352,25
False,-147195,29
False,-89807,34
False,49566,61
False,49985,38
False,49979,40
False,49988,51
False,49810,37
False,49976,45
False,-91318,41
