Sucesso,Melhor Fitness,Numero de gerações
False,49963,37
False,49914,51
False,49898,39
False,49723,42
False,-37572,37
False,49968,34
False,44603,34
False,49980,67
False,-107523,31
False,-96376,31
False,49986,32
False,49908,64
False,-146323,25
False,49972,32
False,44942,36
False,-110411,29
False,49836,37
False,49991,42
False,49908,55
False,49971,47
False,49228,57
False,-146770,27
False,49562,36
False,49946,34
False,-147034,27
False,-131742,28
False,49894,35
False,-126467,29
False,48690,34
False,49901,38
False,49983,43
False,49985,76
False,-155003,29
False,49944,43
False,49920,36
False,49999,52
False,49941,48
False,-66396,30
False,-101869,34
False,49971,44
False,-75689,34
False,49685,36
False,49999,50
False,-100202,31
False,49815,34
False,-145868,35
False,49494,33
False,-156526,28
False,49986,35
False,49988,42
False,-122444,28
False,-91789,46
False,49993,42
False,49843,48
False,49870,36
False,-39499,35
False,49686,48
False,49974,35
False,43917,47
False,49999,59
False,49995,53
False,49989,41
False,-148117,33
False,49961,43
False,-65445,34
False,49544,40
False,49984,36
False,49968,43
False,-89728,33
False,47411,47
False,-46873,34
False,-155963,27
False,-134513,40
False,49900,41
False,49998,48
False,49361,40
False,-83899,35
False,-159007,32
True,50000,32
False,-76908,30
False,-140987,28
False,-83961,33
False,49799,35
False,49994,43
False,49934,59
False,49894,34
False,-62078,37
False,49077,33
False,49937,39
False,49981,41
False,-17130,33
False,49693,56
False,-60272,32
False,47318,38
False,-92841,31
False,-113791,32
False,38150,44
False,-63666,38
False,49805,47
False,48824,33
