Sucesso,Melhor Fitness,Numero de gerações
False,-1825481,33
False,49658,44
False,-1894645,32
False,-2196074,28
False,-2158566,29
False,-1951105,36
False,-2318887,31
False,-2172296,33
False,-1591594,36
False,-413124,40
False,-2203038,30
False,10967,71
False,-1712642,32
False,-572870,39
False,-2068053,29
False,49966,64
False,-1827925,32
False,-1810117,39
False,-2023917,31
False,12022,58
False,49647,55
False,-1694368,37
False,-1415168,37
False,24971,59
False,-2270028,27
False,34056,45
False,-1420448,47
False,-1238143,39
False,-1906269,39
False,-2248511,30
False,49869,53
False,-1962897,31
False,-1817707,35
False,-1692455,38
False,17536,50
False,13604,77
False,10739,58
False,-2177391,29
False,-2137351,31
False,37859,62
False,-2203587,28
False,-2297613,28
False,-2332421,25
False,48363,44
False,-2313114,23
False,17326,56
False,-2341626,24
False,23352,53
False,-2277642,29
False,13453,44
False,-2175976,34
False,49581,54
False,-1384601,39
False,-1990011,34
False,32998,42
False,-2019601,31
False,-1390053,37
False,-1840359,36
False,24580,41
False,41438,51
False,-1346291,38
False,-1942542,32
False,-1325783,38
False,-2272746,27
False,-267337,43
False,49968,71
False,-552709,45
False,-1765909,35
False,17715,38
False,-2322309,24
False,49966,57
False,-2181920,32
False,-2163795,28
False,49940,47
False,-1827131,31
False,-1061627,43
False,-801646,43
False,23704,52
False,49544,43
False,49902,53
False,-1560579,33
False,-2292192,26
False,38116,50
False,-2284303,28
False,-1931265,33
False,-1907553,34
False,-1002956,51
False,-1789806,35
False,-2224000,28
False,-2042281,35
False,-1691803,46
False,7467,75
False,-1948302,34
False,38307,44
False,-1662866,35
False,23326,55
False,35549,44
False,-2172715,32
False,-101955,40
False,-528740,54
