Sucesso,Melhor Fitness,Numero de gerações
False,14745,43
False,-1113751,36
False,-1189600,75
False,-1652592,35
False,-2075165,30
False,-218510,48
False,24171,64
False,-2311466,33
False,-2101836,31
False,-2266777,35
False,-2294952,30
False,27761,78
False,-756898,43
False,39141,63
False,45463,51
False,49772,66
False,-2198234,27
False,8343,70
False,9096,73
False,-2221091,28
False,-1171807,38
False,49580,59
False,-2329152,27
False,40214,44
False,-2248440,26
False,-2254861,33
False,25273,46
False,34265,55
False,-2197454,32
False,-1366198,51
False,-1261092,34
False,-1035514,57
False,-273648,41
False,-2083174,31
False,-1895002,32
False,-1453757,46
False,-2227796,26
False,-2167289,31
False,6555,51
False,-1053828,39
False,-35465,39
False,12074,46
False,49865,52
False,45241,40
False,-1307191,36
False,-2238205,34
False,-2224683,30
False,49910,43
False,-1099665,44
False,46143,46
False,-2282645,27
False,-2233497,35
False,-1889172,40
False,-1455868,37
False,-1480927,37
False,-2212596,29
False,-1461349,49
False,-2296703,27
False,49533,80
False,-2135587,44
False,-2267889,26
False,-2303623,26
False,-2126385,30
False,-2307369,27
False,49291,45
False,-2186775,38
False,-2239669,28
False,-2302808,27
False,-2271304,31
False,-1345532,37
False,10122,77
False,-2271387,27
False,-2191158,28
False,-2204043,27
False,-1917370,33
False,21704,51
False,-2189458,27
False,-123688,47
False,49936,43
False,-1934847,40
False,-1493283,38
False,49970,51
False,-2141102,33
False,10198,57
False,48178,42
False,-2194979,30
False,-2237684,33
False,-2208037,30
False,-2172193,30
False,-1692111,33
False,49527,49
False,-1675498,47
False,-2178461,34
False,31021,66
False,-2040706,31
False,-687904,44
False,-1937655,37
False,-2154377,28
False,-2131103,39
False,-1819848,35
