Sucesso,Melhor Fitness,Numero de gerações
False,-1581869,33
False,-2306763,27
False,21308,42
False,49957,84
False,-2212529,32
False,-2239013,30
False,-2350468,21
False,-1605463,35
False,49945,64
False,-2210160,37
False,-2280358,31
False,-2076926,39
False,-2269175,31
False,41368,45
False,-2333464,26
False,-1930681,33
False,-1670657,38
False,-1910710,34
False,-1695309,42
False,24343,47
False,-1893399,35
False,-2068887,32
False,-2226113,27
False,-2211173,27
False,49807,54
False,-2242192,30
False,-365850,52
False,-2260122,29
False,-1157370,37
False,41921,53
False,-2065751,32
False,-1363576,43
False,-2285843,55
False,47892,49
False,-2081576,29
False,-1637720,42
False,47728,48
False,49840,67
False,49816,59
False,-95849,43
False,-2213536,29
False,41272,48
False,-2147587,34
False,-2290874,26
False,-2308943,27
False,-2122801,45
False,-2167098,30
False,35513,46
False,7630,66
False,-2224305,33
False,-1599382,39
False,-2108008,31
False,-1593538,36
False,-1663792,47
False,-2266172,30
False,38736,46
False,-2046903,30
False,49962,56
False,-1884923,33
False,-2217678,32
False,-2179559,29
False,-2205794,28
False,26689,64
False,29005,52
False,-2200367,41
False,-1906534,32
False,-2314908,33
False,-795286,36
False,-508784,39
False,18560,51
False,49930,49
False,-1232670,37
False,49953,40
False,-2091631,30
False,-2330594,25
False,-2008593,31
False,-310130,45
False,-2261379,32
False,-2164074,32
False,-2249213,30
False,10055,50
False,23386,50
False,49230,48
False,49429,45
False,48511,55
False,-898276,51
False,49939,56
False,-135406,44
False,49859,52
False,-805455,45
False,-2067845,32
False,-2255538,29
False,-2163130,29
False,-2009971,32
False,-1636717,39
False,-2239640,27
False,-2032326,41
False,-1417885,48
False,21491,56
False,49887,61
