Sucesso,Melhor Fitness,Numero de gerações
False,-170555,77
False,-2001999,38
False,-1461477,46
False,-1759005,35
False,49941,110
False,-2147688,32
False,-2254855,30
False,-2153004,33
False,49999,118
False,-1464281,63
False,-2139089,45
False,-643160,96
False,-467898,73
False,-1072744,69
False,-1809071,42
False,-1905120,37
False,-814715,46
False,-614795,70
False,-2173484,33
False,-1973434,33
False,-1318119,42
False,-1906748,34
False,-2261029,29
False,-1111690,49
False,-1522994,38
False,-1947074,41
True,50000,45
False,-1770426,40
False,-1769129,43
False,49998,124
False,-2191752,30
False,49975,98
False,-2296360,37
False,33586,82
False,-567492,57
False,-162646,81
False,-1864198,38
False,-1572926,53
False,-1766368,38
False,-2269345,28
False,-176492,111
False,49972,69
False,-1896707,33
False,49992,125
False,-601390,87
False,-1930880,36
False,49999,110
False,49942,106
False,-1445098,48
True,50000,95
False,-394223,73
False,-1858546,36
False,-2162166,31
False,-1529601,38
False,-1059290,53
False,-469670,55
False,-1679863,47
False,-2122503,35
False,-640707,65
False,-1416434,45
False,-435114,81
False,-1817258,40
False,49912,90
False,49999,64
False,-994727,65
False,-919954,52
False,-45197,89
False,-1632551,58
False,-790487,83
False,-2136161,32
False,-2128951,32
False,-123164,63
False,49989,72
False,-1835816,45
False,-598325,69
False,-1468417,59
False,-1922475,34
False,-272914,103
False,-1368819,62
False,-1366533,60
False,-417285,53
False,-1665539,69
False,-2170068,30
False,-923014,43
False,-298767,60
True,50000,75
False,49997,106
False,-508070,80
False,-884457,75
False,-951522,43
False,-1380328,45
False,-1231689,75
False,-1372467,37
False,-969049,70
False,-1736390,37
False,-675789,56
False,-1654898,42
False,-1033582,71
False,-2124952,40
False,-1108752,55
