Sucesso,Melhor Fitness,Numero de gerações
False,49915,37
False,49602,57
False,-113899,28
False,-126237,31
False,49944,39
False,49764,51
False,49953,49
False,49932,52
False,49965,39
False,49707,34
False,-146700,29
False,47154,54
False,49853,37
False,49947,48
False,49758,40
False,47417,33
False,32671,40
False,49828,38
False,32915,45
False,49999,41
False,-86828,31
False,49994,43
False,-37704,34
False,-55216,51
False,-162490,26
False,49977,36
False,49972,61
False,-149595,27
False,49818,35
False,-86625,53
False,49989,50
False,49860,47
False,49921,51
False,49942,44
False,-122810,28
False,-21235,33
False,-43406,58
False,49985,48
False,-139038,28
False,49869,36
False,49954,52
False,34391,45
False,49885,37
False,35363,33
False,49896,52
False,-120916,27
False,49570,34
False,49991,55
False,49881,61
False,49936,56
False,-159106,25
False,49972,45
False,-108696,28
False,-157734,27
False,49957,70
False,49424,45
False,44043,39
False,48647,46
False,49961,41
False,49950,41
False,-3740,42
False,49134,37
False,49726,40
False,49993,39
False,49968,51
False,25200,34
False,48060,36
False,49886,52
False,49996,80
False,48564,46
False,-122718,39
False,49965,43
False,49932,39
False,47695,38
False,49992,48
False,29796,38
False,49150,40
False,49991,52
False,-111134,28
False,-21824,44
False,-162138,25
False,49833,42
False,29160,42
False,-116769,31
False,49973,40
False,-40822,37
False,-166961,21
False,49959,53
False,48334,36
False,37833,43
False,49993,64
False,41092,40
False,-153462,26
False,49872,40
False,48617,42
False,-145655,28
False,49974,43
False,49910,37
False,49780,35
False,49978,36
