Sucesso,Melhor Fitness,Numero de gerações
False,-48735,61
False,49978,64
False,49995,83
False,-672347,60
True,50000,49
False,-2253776,28
False,-2206748,33
False,-15260,87
False,-1434722,49
False,-2033989,32
False,-650372,78
False,-247451,94
False,-1206806,72
False,49970,102
False,-2204203,30
False,-2205387,36
True,50000,117
False,49989,69
False,-761105,75
False,-1389163,50
False,-430207,77
False,-1308039,43
False,-725724,80
False,49754,79
False,-1844222,35
False,-997751,64
False,-1126708,45
False,-777193,76
False,-1804348,40
False,-289957,53
False,-2074334,35
False,-423916,85
False,-1112906,43
False,-643753,46
True,50000,70
False,49215,115
False,49999,101
False,-1042368,53
False,49991,99
True,50000,46
False,49999,106
False,-169867,63
False,-859631,49
False,-232731,120
False,-1817148,55
False,49999,125
False,-2005770,50
False,-2233872,43
False,49999,115
False,-952747,75
False,-775917,61
False,-1689003,42
False,-1720481,40
False,-767975,53
False,-1080512,65
False,-2090524,31
True,50000,105
False,-597750,58
False,-2141152,31
False,-1231178,60
False,-1894514,36
False,-2051564,33
False,49919,117
False,-874289,62
False,-1911843,36
False,-188047,87
False,-1424063,49
False,-408620,50
False,-2114772,39
False,-446671,69
False,49995,88
False,49998,95
False,49998,94
False,-1919887,37
False,-1541880,44
False,-2232946,30
False,-1985999,34
False,-2247575,28
False,-819767,68
False,49974,115
False,-305800,103
False,-1508974,54
False,49927,79
False,-1969126,38
False,-1365079,47
False,-149937,82
False,-1156543,56
False,-2199488,30
False,-1349704,42
False,-1045211,73
False,-1949846,36
False,-2157126,35
False,-1461776,50
False,-1668370,40
False,49791,105
False,-2243974,27
False,-565560,45
False,48841,91
False,49995,129
False,-1378493,59
