Sucesso,Melhor Fitness,Numero de gerações
False,-714954,68
True,50000,80
False,-2010158,33
False,-555025,62
False,-2168631,42
False,-1865116,37
False,49596,113
False,-1764234,45
False,-455368,65
False,-2163031,38
False,-2149763,31
False,-1246096,45
False,49995,65
False,-2157390,34
False,-239588,109
False,-1834590,46
False,-1738793,38
False,-2098215,59
False,-341480,81
False,-973060,46
False,-2072973,39
False,-2171362,41
False,-680346,59
False,-950998,44
False,49992,88
False,-2236725,32
False,49955,75
False,-1612180,38
False,-997415,58
False,-1604687,56
False,-2169300,32
False,-1306791,47
False,-1275108,63
False,-2239329,30
False,49997,99
False,-1262881,51
False,46517,109
False,-1383150,53
False,-822667,45
False,-74680,82
False,-653263,87
False,-309310,57
False,-1454810,56
False,-2219298,34
False,-1983922,34
False,-2055998,34
False,-685711,105
False,-2175233,34
False,-2233264,42
False,-1541567,45
False,-413799,53
False,-1055661,61
False,-1193018,48
False,-808799,58
False,-1879476,42
False,-2200841,38
False,49983,115
False,-2054729,34
False,-1845756,38
False,-1678847,62
False,-896568,61
False,49984,102
False,-2162601,33
False,49981,77
False,-984763,58
False,-1418580,45
False,-1221930,41
False,-1592370,73
False,-2198437,29
False,-1844760,38
False,-1560570,50
False,-2035410,33
False,-1799495,40
False,-1972717,35
False,-2036241,45
False,-757802,71
False,-1899088,43
False,-2215352,30
False,-2205852,32
False,-2155991,36
False,-2068581,36
False,-875580,42
False,-317816,69
False,-1929564,41
False,-1828591,44
False,-1884454,37
False,-390559,51
False,-339719,85
False,-2174284,45
False,49634,110
False,-2091155,41
False,-1825852,37
False,-2204577,30
False,-1928902,35
False,-2187370,32
False,-2162234,33
False,-1156348,55
False,-565869,86
False,-2048828,37
False,-2228068,28
