Sucesso,Melhor Fitness,Numero de gerações
False,49948,133
False,-1077307,48
False,-1680769,48
False,-2156080,41
False,-427651,55
False,-1488561,61
False,-1806417,37
False,-1656524,38
False,-1977083,37
False,49993,98
False,-2203173,31
False,-2223961,27
False,-1962646,34
False,-1430841,44
False,-870636,71
False,-1937189,40
False,49997,79
False,-1386009,43
False,-85322,69
False,-744532,63
False,-1533747,39
False,-1797776,58
False,-1021558,64
False,-1971294,37
False,-2236354,37
False,-2108088,32
False,49994,120
False,-2249488,33
False,-2127198,32
False,-2172513,31
False,-833519,51
False,-1028783,52
False,-2136332,34
False,-526335,46
False,-2018508,35
False,-2168981,32
False,-1680696,48
False,-2248589,33
True,50000,76
False,-2184351,46
False,49999,129
False,-2191613,28
False,-2091145,51
False,49983,94
False,-2120734,37
False,-2151452,34
False,-2260349,41
False,-2232733,32
False,-1212296,47
False,-2097471,34
False,-1567603,79
False,49985,97
False,-2155308,32
False,-2170098,35
False,-174712,67
False,-2265111,28
False,49999,90
False,-2086020,34
False,-2103079,40
False,-2069527,32
False,-2110252,40
False,49987,90
False,-1033100,48
False,-1095424,54
False,-1169043,52
True,50000,55
False,-1671650,61
False,-1424672,54
False,-982086,63
False,49961,79
False,-1830,67
True,50000,121
False,-310461,79
False,49984,66
False,-2198994,56
False,-1143877,76
False,-1791037,60
False,-1740663,40
False,48883,115
False,-860725,46
False,-2163033,35
False,-2011624,41
False,-1853647,43
False,-2182172,76
False,-2189666,32
False,-2213499,37
False,-2114596,32
False,-476254,53
False,-124973,70
False,-1632527,40
False,-2277114,28
False,-1127242,62
False,-1997098,41
False,-1682024,51
False,-2245223,34
False,-1507643,45
False,-2276336,30
False,49994,96
False,-2229790,29
False,-35438,71
