Sucesso,Melhor Fitness,Numero de gerações
True,50000,21
True,50000,19
True,50000,16
True,50000,14
True,50000,13
True,50000,13
True,50000,19
True,50000,14
True,50000,11
True,50000,18
True,50000,11
True,50000,16
True,50000,20
True,50000,19
True,50000,16
True,50000,23
True,50000,12
True,50000,13
True,50000,16
True,50000,16
False,49999,30
True,50000,16
True,50000,12
True,50000,12
True,50000,17
True,50000,14
True,50000,15
True,50000,18
True,50000,18
True,50000,12
True,50000,12
True,50000,22
True,50000,14
True,50000,14
True,50000,17
True,50000,23
True,50000,16
True,50000,16
True,50000,12
True,50000,15
True,50000,15
False,49999,30
True,50000,12
True,50000,15
True,50000,16
True,50000,17
True,50000,11
True,50000,20
True,50000,15
True,50000,11
True,50000,25
True,50000,26
True,50000,15
True,50000,20
True,50000,17
True,50000,25
True,50000,16
True,50000,12
True,50000,14
True,50000,15
True,50000,13
True,50000,19
True,50000,12
True,50000,10
True,50000,16
True,50000,13
True,50000,13
True,50000,17
False,49999,29
True,50000,16
True,50000,23
True,50000,26
True,50000,15
True,50000,16
True,50000,13
True,50000,17
True,50000,32
True,50000,14
True,50000,12
True,50000,22
True,50000,13
True,50000,25
True,50000,15
True,50000,22
True,50000,20
True,50000,14
True,50000,19
True,50000,14
True,50000,13
True,50000,31
True,50000,17
True,50000,14
True,50000,14
True,50000,14
True,50000,13
True,50000,16
True,50000,28
True,50000,18
True,50000,12
True,50000,24
