Sucesso,Melhor Fitness,Numero de gerações
False,49989,50
False,49958,57
False,49849,39
False,49778,41
False,-135424,31
False,49953,36
False,-120756,31
False,49323,42
False,49741,48
False,49980,72
False,-138449,28
False,-97156,38
False,49965,43
False,-59155,33
False,48936,51
False,49917,41
False,-112175,49
False,44643,37
False,-155229,28
False,-132089,30
False,-149801,27
False,-124189,29
False,49992,37
False,49993,71
False,49706,39
False,49945,35
False,-78676,60
False,-28447,38
False,-164584,23
False,-117802,40
False,49901,75
False,-1823,34
False,-146660,28
False,-90685,31
False,-122603,29
False,-141014,27
False,48057,40
False,49801,43
False,-3308,39
False,49619,41
False,49932,33
False,-118449,28
False,49981,44
False,-146191,32
False,-100241,30
False,-50506,35
False,49535,33
False,49985,32
False,-8467,73
False,49962,34
False,49989,59
False,-50433,32
False,49985,57
False,-17936,36
False,49895,37
False,43975,38
False,48474,46
False,49884,40
False,49957,49
False,-86668,33
False,-132662,28
False,49894,40
False,-161319,26
False,49904,42
False,49999,81
False,-84896,30
False,-153093,27
False,-21259,33
False,49952,41
False,-132383,28
False,49668,47
False,49967,33
False,-130359,29
False,-98698,30
False,49924,35
False,49981,47
False,-146441,28
False,49303,36
False,-160835,26
False,-110302,33
False,-152854,25
False,49981,40
False,-69056,32
False,49758,35
False,47771,35
False,49993,50
False,-137253,29
False,49976,39
False,-116363,28
False,-152187,25
False,49287,33
False,49950,47
False,49836,47
False,43727,40
False,49821,42
True,50000,27
False,49639,44
False,-146617,26
False,49907,32
False,49408,40
