Sucesso,Melhor Fitness,Numero de gerações
False,49688,52
False,-2180962,31
False,-2193161,32
False,35862,78
False,-164880,60
False,-74137,48
False,-1661158,37
False,30773,65
False,-2240651,28
False,-842818,53
False,49953,50
False,43423,65
False,-309864,38
False,-104118,58
False,-1838536,30
False,-2110313,31
False,49931,50
False,-1197316,41
False,-2275705,27
False,-2048630,32
False,12452,47
False,10220,74
False,-2061084,31
False,-603026,53
False,-2207553,31
False,49910,53
False,-2181882,30
False,11194,63
False,49981,48
False,-1800242,35
False,-2186395,29
False,-461607,36
False,-2088126,34
False,4884,73
False,-2190442,29
False,13675,73
False,5217,89
False,-1384884,36
False,5155,80
False,-66259,53
False,11354,107
False,49951,41
False,-1418638,42
False,44333,44
False,2093,99
False,35714,45
False,-1146636,36
False,-936305,40
False,-2249616,29
False,-2004733,33
False,-743819,43
False,-2029085,31
False,-1644565,35
False,-1327188,36
False,22193,45
False,-2178885,31
False,9341,86
False,35434,45
False,-2309909,29
False,49983,75
False,-1978370,31
False,17261,51
False,18711,49
False,17548,76
False,15483,51
False,43432,65
False,-2027003,35
False,-1225821,44
False,47575,64
False,11192,90
False,49869,58
False,30143,59
False,-780820,43
False,32569,45
False,3014,91
False,-174360,53
False,49958,53
False,49670,61
False,-1136280,39
False,49773,49
False,4494,74
False,-2035325,33
False,31260,55
False,-2262816,31
False,5253,64
False,-2144861,29
False,-2174764,29
False,49316,45
False,-1144854,47
False,6411,101
False,49726,55
False,14135,66
False,-2120370,47
False,-1755472,32
False,-2105629,32
False,-2163456,31
False,16389,54
False,-1868099,34
False,37539,56
False,-734674,75
