Sucesso,Melhor Fitness,Numero de gerações
False,-2251791,27
False,-2130410,40
False,-334015,43
False,-2221368,29
False,46701,46
False,-2079630,30
False,-1778385,34
False,-2092575,30
False,47729,47
False,-1236176,41
False,-1953031,33
False,-2272960,30
False,49848,44
False,-2156532,33
False,-2285806,28
False,-1441930,38
False,38123,51
False,-2335163,23
False,6175,52
False,-2301717,34
False,-1605035,33
False,-1107017,39
False,35099,81
False,49312,45
False,-1739460,32
False,-2229422,36
False,-2056109,32
False,-818446,55
False,43973,69
False,-2312904,25
False,16447,42
False,49563,47
False,49431,70
False,-1803683,34
False,13396,45
False,-2218613,27
False,49119,50
False,-739973,43
False,-2310721,27
False,-2292767,29
False,34875,77
False,23394,48
False,-655428,40
False,-2246968,35
False,31520,62
False,49993,41
False,-2252954,27
False,-431475,51
False,-982935,45
False,-2274581,27
False,-2137692,37
False,2867,55
False,-2084449,36
False,-2287198,28
False,-857244,40
False,-1567314,36
False,-2354663,26
False,-2109497,33
False,-2211253,30
False,-287208,43
False,-2110639,32
False,-2280828,28
False,-293734,41
False,-2275689,26
False,-1387201,45
False,-491488,59
False,-2251308,29
False,-2050059,31
False,-1411194,37
False,-2289612,30
False,-2236123,31
False,-2173973,32
False,-2269441,29
False,-2275144,29
False,8040,42
False,9646,48
False,-2207690,29
False,-2350209,40
False,-1999792,43
False,-1501557,38
False,49955,53
False,49588,41
False,-503834,70
False,48715,44
False,-256512,51
False,-1453021,36
False,49997,51
False,-2243676,50
False,-234512,46
False,-316566,49
False,-2198101,29
False,-1773427,32
False,-934958,43
False,49831,50
False,1453,54
False,41242,48
False,-2281129,26
False,-2259402,26
False,-319644,40
False,-1837866,48
