Sucesso,Melhor Fitness,Numero de gerações
False,49784,47
False,49913,54
False,49997,62
False,49931,41
False,49992,49
False,49849,49
False,49777,33
False,49973,40
False,-44958,37
False,49925,49
False,49800,41
False,49051,41
False,-135209,30
False,-121444,30
False,49888,43
False,49752,68
False,49946,37
False,49976,47
False,-54379,47
False,-135069,28
False,-162245,27
False,47936,40
False,-21847,33
False,-154972,30
False,49999,34
False,-77185,31
False,-157545,28
False,49963,47
False,-149880,29
False,49810,40
False,-2061,53
False,-148726,27
False,-141136,41
False,-56361,30
False,49675,35
True,50000,21
False,49882,38
False,47415,35
False,49944,64
False,-14579,56
False,49997,50
False,-140403,27
False,49843,36
False,49909,47
False,49973,53
False,-112509,39
False,49881,42
False,49608,51
False,47570,37
False,49917,36
True,50000,39
False,49789,33
False,24624,33
False,-148393,28
False,36593,37
False,46970,73
False,-106735,31
False,49905,50
False,49869,39
False,-28078,48
False,47610,49
False,-54138,39
False,-45917,32
False,-153143,47
False,-96742,30
False,49290,42
False,48961,59
False,49787,40
False,49923,44
False,-64640,35
False,-117081,40
False,48157,34
False,-140554,34
False,49943,39
False,49827,39
False,49998,37
False,49993,75
False,49997,34
False,-150538,28
False,-90995,37
False,49317,35
False,-50702,50
False,49979,50
False,-137101,28
False,-112826,30
False,49978,33
False,-143816,37
False,49751,33
False,47802,33
False,-105199,32
False,39678,36
False,49961,39
False,49972,41
False,-80566,39
False,49860,41
False,49945,41
False,-93979,42
False,47509,58
False,49680,38
False,-137400,30
