Sucesso,Melhor Fitness,Numero de gerações
False,49999,52
False,49981,34
False,49988,29
False,49996,41
False,49992,50
True,50000,36
False,49998,31
False,49965,32
True,50000,52
False,49932,29
False,49972,31
False,49996,80
False,49995,34
False,49979,34
False,49975,29
False,49996,43
True,50000,17
False,49997,42
False,49984,57
False,49968,30
False,49998,34
False,49999,40
False,46282,27
False,49983,30
False,49996,36
False,49999,37
False,49966,37
True,50000,19
False,49996,31
False,49984,29
True,50000,30
True,50000,33
False,49990,33
True,50000,13
False,49961,41
False,49994,32
False,49996,34
False,49997,41
False,49999,52
False,49977,32
True,50000,16
False,49999,80
False,49980,30
False,49976,29
False,45117,27
False,49986,31
False,49997,39
False,49970,33
False,49998,61
False,49998,51
False,49994,34
True,50000,17
False,49985,35
False,49984,30
False,49997,31
False,49996,42
False,43564,25
False,49979,35
True,50000,38
True,50000,15
False,49997,37
False,49998,54
False,49996,67
False,49996,33
False,49998,52
False,49989,31
False,49999,34
False,49983,47
True,50000,19
True,50000,34
False,49999,60
False,49997,30
True,50000,33
False,49990,32
False,49995,34
False,49997,70
False,49997,40
False,49964,36
False,49997,30
True,50000,46
False,49995,35
False,49995,52
False,49982,41
True,50000,15
False,49999,60
False,49997,32
False,49996,32
False,49995,49
False,40338,26
False,49997,38
False,49988,33
True,50000,65
False,49995,48
False,49991,50
False,49999,29
False,49994,53
False,49997,39
False,49999,43
False,49998,33
True,50000,43
