Sucesso,Melhor Fitness,Numero de gerações
False,-40094,40
False,49975,34
False,49977,49
False,49868,36
False,49927,36
False,49924,32
False,49923,49
False,-157707,32
False,49677,51
False,-154672,25
False,49128,39
False,49945,36
False,49681,55
False,49980,49
False,-134519,29
False,49909,45
False,49936,34
False,48802,42
False,49550,38
False,49998,40
False,49978,47
False,47709,43
False,49975,35
False,48237,51
False,49987,47
False,-19485,34
False,49956,45
False,49986,42
False,-139928,28
False,49845,42
True,50000,60
True,50000,52
False,49779,61
False,49942,52
False,-53405,43
False,49985,35
False,49734,52
False,49981,41
False,49233,45
False,49975,36
False,49754,61
False,49915,38
False,-123053,31
False,-76946,45
False,49953,34
False,49959,59
False,49989,55
False,-97679,37
False,49825,42
False,-96289,30
False,49975,45
False,49997,33
False,49980,64
True,50000,57
False,49764,56
False,49955,55
False,49884,42
False,49966,63
False,-77814,29
False,-117156,29
False,-35485,40
False,-102765,28
False,-105768,28
False,49829,44
False,45734,38
False,44729,39
False,49705,76
False,49991,75
True,50000,30
False,-104653,33
False,49682,39
False,49194,43
False,-138188,34
False,49893,51
False,-123093,30
False,49032,42
False,-133091,32
False,-102670,33
False,49990,58
False,-102093,37
False,-123382,30
False,-93873,32
False,49983,40
False,39566,35
False,49974,54
False,-125804,28
False,49861,50
False,-35118,32
False,37160,33
False,48062,46
False,49994,65
False,49995,39
False,49906,54
False,-133977,28
False,49316,40
False,49975,58
False,-154865,28
False,45652,39
False,-134153,30
False,49984,54
